city,property_type,price_tnd,surface_m2,sustainability_score,combined_risk
Tunis,Apartment,175000.0,802.0,76.6,3.83
Tunis,Apartment,224000.0,102.0,76.6,3.83
Ariana,Apartment,230000.0,64.0,78.7,3.67
Tunis,Apartment,550000.0,109.0,76.6,3.83
Tunis,Apartment,490000.0,168.0,76.6,3.83
Ariana,Apartment,220000.0,61.0,78.7,3.67
Tunis,Apartment,430000.0,136.0,76.6,3.83
Tunis,Apartment,270000.0,59.0,76.6,3.83
Tunis,Apartment,410000.0,162.0,76.6,3.83
Tunis,Apartment,385000.0,136.0,76.6,3.83
Tunis,Apartment,260000.0,71.0,76.6,3.83
Tunis,Apartment,300000.0,41.0,76.6,3.83
Ariana,Apartment,170000.0,113.0,78.7,3.67
Ariana,House,700000.0,1000.0,78.7,3.67
Ariana,Apartment,440000.0,200.0,78.7,3.67
Ariana,Apartment,136000.0,89.0,78.7,3.67
Ariana,Apartment,146150.0,79.0,78.7,3.67
Ariana,House,1150000.0,1000.0,78.7,3.67
Ariana,Apartment,340000.0,157.0,78.7,3.67
Ariana,Unknown,1550000.0,330.0,78.7,3.67
Ariana,House,490000.0,220.0,78.7,3.67
Ariana,Apartment,225000.0,105.0,78.7,3.67
Ariana,House,620000.0,400.0,78.7,3.67
Ariana,Land,558000.0,1.0,78.7,3.67
Ariana,Apartment,205000.0,90.0,78.7,3.67
Ariana,Apartment,225000.0,151.0,78.7,3.67
Ariana,House,1000000.0,1000.0,78.7,3.67
Ariana,Apartment,410000.0,145.0,78.7,3.67
Ariana,House,400000.0,1000.0,78.7,3.67
Ariana,Apartment,155000.0,64.0,78.7,3.67
Ariana,Land,708800.0,1.0,78.7,3.67
Ariana,Land,2250000.0,1.0,78.7,3.67
Ariana,House,400000.0,120.0,78.7,3.67
Ariana,Land,4000000.0,1.0,78.7,3.67
Ariana,House,257000.0,188.0,78.7,3.67
Ariana,Apartment,28000.0,130.0,78.7,3.67
Ariana,House,78000.0,125.0,78.7,3.67
Ariana,Apartment,360000.0,200.0,78.7,3.67
Ariana,Apartment,300000.0,136.0,78.7,3.67
Ariana,Unknown,119000.0,36.0,78.7,3.67
Ariana,Apartment,1050000.0,165.0,78.7,3.67
Ariana,House,880000.0,327.0,78.7,3.67
Ariana,House,1800000.0,434.0,78.7,3.67
Ariana,Apartment,750000.0,278.0,78.7,3.67
Ariana,Apartment,470000.0,186.0,78.7,3.67
Ariana,Apartment,650000.0,188.0,78.7,3.67
Ariana,Apartment,1100000.0,370.0,78.7,3.67
Ariana,Apartment,243000.0,87.0,78.7,3.67
Ariana,Apartment,650000.0,165.0,78.7,3.67
Ariana,Land,27400.0,1.0,78.7,3.67
Ariana,Apartment,295000.0,138.0,78.7,3.67
Ariana,Unknown,65000.0,98.0,78.7,3.67
Ariana,House,115000.0,110.0,78.7,3.67
Ariana,House,490000.0,260.0,78.7,3.67
Ariana,Apartment,109000.0,62.0,78.7,3.67
Ariana,House,650000.0,260.0,78.7,3.67
Ariana,Land,2820150.0,1.0,78.7,3.67
Ariana,Apartment,85000.0,52.0,78.7,3.67
Ariana,Apartment,245000.0,120.0,78.7,3.67
Ariana,Land,249000.0,1.0,78.7,3.67
Ariana,Apartment,339000.0,153.0,78.7,3.67
Ariana,Apartment,168000.0,115.0,78.7,3.67
Ariana,House,540000.0,609.0,78.7,3.67
Ariana,House,370000.0,161.0,78.7,3.67
Ariana,House,1700000.0,1000.0,78.7,3.67
Ariana,Unknown,160000.0,60.0,78.7,3.67
Ariana,Apartment,210000.0,125.0,78.7,3.67
Ariana,House,530000.0,410.0,78.7,3.67
Ariana,Apartment,441000.0,157.0,78.7,3.67
Ariana,Apartment,570000.0,187.0,78.7,3.67
Ariana,Apartment,145000.0,57.0,78.7,3.67
Ariana,House,840000.0,327.0,78.7,3.67
Ariana,Unknown,650000.0,750.0,78.7,3.67
Ariana,Unknown,82000.0,40.0,78.7,3.67
Ariana,Apartment,340000.0,163.0,78.7,3.67
Ariana,Apartment,360000.0,153.0,78.7,3.67
Ariana,House,760000.0,380.0,78.7,3.67
Ariana,Apartment,295000.0,170.0,78.7,3.67
Ariana,House,750000.0,686.0,78.7,3.67
Ariana,Apartment,310000.0,160.0,78.7,3.67
Ariana,Apartment,95000.0,130.0,78.7,3.67
Ariana,Apartment,310000.0,100.0,78.7,3.67
Ariana,Apartment,160000.0,72.0,78.7,3.67
Ariana,House,280000.0,240.0,78.7,3.67
Ariana,Apartment,300000.0,155.0,78.7,3.67
Ariana,House,550000.0,401.0,78.7,3.67
Ariana,Apartment,440000.0,175.0,78.7,3.67
Ariana,House,900000.0,518.0,78.7,3.67
Ariana,Apartment,240000.0,140.0,78.7,3.67
Ariana,Unknown,169000.0,84.0,78.7,3.67
Ariana,Apartment,310000.0,115.0,78.7,3.67
Ariana,Apartment,355000.0,200.0,78.7,3.67
Ariana,Apartment,465000.0,187.0,78.7,3.67
Ariana,Apartment,370000.0,191.0,78.7,3.67
Ariana,Apartment,410000.0,169.0,78.7,3.67
Ariana,House,1150000.0,609.0,78.7,3.67
Ariana,House,130000.0,417.0,78.7,3.67
Ariana,House,690000.0,290.0,78.7,3.67
Ariana,House,185000.0,125.0,78.7,3.67
Ariana,Unknown,80000.0,400.0,78.7,3.67
Ariana,House,1080000.0,500.0,78.7,3.67
Ariana,House,750000.0,370.0,78.7,3.67
Ariana,House,850000.0,482.0,78.7,3.67
Ariana,Apartment,2400000.0,253.0,78.7,3.67
Ariana,Apartment,550000.0,200.0,78.7,3.67
Ariana,Apartment,2600000.0,170.0,78.7,3.67
Ariana,Apartment,360000.0,143.0,78.7,3.67
Ariana,House,900000.0,637.0,78.7,3.67
Ariana,Apartment,430000.0,170.0,78.7,3.67
Ariana,Apartment,130000.0,98.0,78.7,3.67
Ariana,House,76000.0,90.0,78.7,3.67
Ariana,Land,4455000.0,1.0,78.7,3.67
Ariana,Apartment,167500.0,121.0,78.7,3.67
Ariana,Unknown,38000.0,30.0,78.7,3.67
Ariana,Apartment,223000.0,100.0,78.7,3.67
Ariana,Unknown,250000.0,432.0,78.7,3.67
Ariana,House,230000.0,425.0,78.7,3.67
Ariana,Apartment,210000.0,108.0,78.7,3.67
Ariana,Apartment,330000.0,170.0,78.7,3.67
Ariana,Apartment,120000.0,45.0,78.7,3.67
Ariana,Apartment,270000.0,117.0,78.7,3.67
Ariana,Apartment,195000.0,80.0,78.7,3.67
Ariana,Apartment,365000.0,128.0,78.7,3.67
Ariana,House,3000000.0,220.0,78.7,3.67
Ariana,House,130000.0,115.0,78.7,3.67
Ariana,Apartment,170000.0,60.0,78.7,3.67
Ariana,House,180000.0,330.0,78.7,3.67
Ariana,House,760000.0,370.0,78.7,3.67
Ariana,Apartment,119000.0,80.0,78.7,3.67
Ariana,House,150000.0,225.0,78.7,3.67
Ariana,Unknown,55000.0,42.0,78.7,3.67
Ariana,House,42000.0,100.0,78.7,3.67
Ariana,Apartment,140000.0,121.0,78.7,3.67
Ariana,Apartment,310000.0,165.0,78.7,3.67
Ariana,Apartment,195000.0,68.0,78.7,3.67
Ariana,House,750000.0,1000.0,78.7,3.67
Ariana,Apartment,173000.0,80.0,78.7,3.67
Ariana,Unknown,720000.0,400.0,78.7,3.67
Ariana,Apartment,275000.0,149.0,78.7,3.67
Ariana,House,1000000.0,407.0,78.7,3.67
Ariana,House,840000.0,260.0,78.7,3.67
Ariana,House,368000.0,183.0,78.7,3.67
Ariana,House,240000.0,450.0,78.7,3.67
Ariana,House,750000.0,468.0,78.7,3.67
Ariana,Apartment,265000.0,100.0,78.7,3.67
Ariana,House,630000.0,270.0,78.7,3.67
Ariana,House,335000.0,350.0,78.7,3.67
Ariana,House,550000.0,226.0,78.7,3.67
Ariana,House,1700000.0,1000.0,78.7,3.67
Ariana,Apartment,260000.0,152.0,78.7,3.67
Ariana,Unknown,15000.0,1000.0,78.7,3.67
Ariana,Apartment,160000.0,67.0,78.7,3.67
Ariana,Apartment,180000.0,74.0,78.7,3.67
Ariana,House,600000.0,207.0,78.7,3.67
Ariana,House,850000.0,516.0,78.7,3.67
Ariana,Land,112590.0,1.0,78.7,3.67
Ariana,House,460000.0,280.0,78.7,3.67
Ariana,House,220000.0,267.0,78.7,3.67
Ariana,House,1200000.0,777.0,78.7,3.67
Ariana,Apartment,312000.0,125.0,78.7,3.67
Ariana,Apartment,250000.0,100.0,78.7,3.67
Ariana,Land,382500.0,1.0,78.7,3.67
Ariana,House,310000.0,350.0,78.7,3.67
Ariana,House,260000.0,202.0,78.7,3.67
Ariana,Unknown,35000.0,29.0,78.7,3.67
Ariana,Unknown,16700.0,1000.0,78.7,3.67
Ariana,Apartment,356000.0,133.0,78.7,3.67
Ariana,Apartment,260000.0,81.0,78.7,3.67
Ariana,Apartment,185000.0,112.0,78.7,3.67
Ariana,Apartment,68000.0,50.0,78.7,3.67
Ariana,Apartment,950000.0,250.0,78.7,3.67
Ariana,Apartment,380000.0,186.0,78.7,3.67
Ariana,House,230000.0,400.0,78.7,3.67
Ariana,House,900000.0,530.0,78.7,3.67
Ariana,House,700000.0,900.0,78.7,3.67
Ariana,Land,316000.0,1.0,78.7,3.67
Ariana,House,95000.0,157.0,78.7,3.67
Ariana,House,135000.0,190.0,78.7,3.67
Ariana,House,830000.0,320.0,78.7,3.67
Ariana,Apartment,229400.0,124.0,78.7,3.67
Ariana,Unknown,30000.0,30.0,78.7,3.67
Ariana,Unknown,83000.0,45.0,78.7,3.67
Ariana,Apartment,360000.0,128.0,78.7,3.67
Ariana,Land,52500.0,1.0,78.7,3.67
Ariana,Apartment,430000.0,144.0,78.7,3.67
Ariana,Unknown,150000.0,300.0,78.7,3.67
Ariana,House,520000.0,250.0,78.7,3.67
Ariana,Apartment,290000.0,140.0,78.7,3.67
Ariana,House,1111000.0,90.0,78.7,3.67
Ariana,House,690000.0,320.0,78.7,3.67
Ariana,House,280000.0,400.0,78.7,3.67
Ariana,Unknown,780000.0,200.0,78.7,3.67
Ariana,Unknown,1300000.0,931.0,78.7,3.67
Ariana,House,900000.0,436.0,78.7,3.67
Ariana,House,1300000.0,550.0,78.7,3.67
Ariana,House,980000.0,300.0,78.7,3.67
Ariana,Apartment,310000.0,116.0,78.7,3.67
Ariana,House,770000.0,380.0,78.7,3.67
Ariana,House,1300000.0,900.0,78.7,3.67
Ariana,Land,995000.0,1.0,78.7,3.67
Ariana,House,290000.0,165.0,78.7,3.67
Ariana,Apartment,530000.0,222.0,78.7,3.67
Ariana,Apartment,415000.0,170.0,78.7,3.67
Ariana,Apartment,530000.0,200.0,78.7,3.67
Ariana,Apartment,205000.0,105.0,78.7,3.67
Ariana,Apartment,280000.0,138.0,78.7,3.67
Ariana,Unknown,28000.0,40.0,78.7,3.67
Ariana,Apartment,375000.0,170.0,78.7,3.67
Ariana,Apartment,240000.0,106.0,78.7,3.67
Ariana,House,125000.0,130.0,78.7,3.67
Ariana,Land,152000.0,1.0,78.7,3.67
Ariana,Apartment,95000.0,31.0,78.7,3.67
Ariana,House,600000.0,718.0,78.7,3.67
Ariana,Apartment,130000.0,94.0,78.7,3.67
Ariana,Land,716800.0,1.0,78.7,3.67
Ariana,Apartment,215000.0,105.0,78.7,3.67
Ariana,Land,179900.0,1.0,78.7,3.67
Ariana,Apartment,107000.0,100.0,78.7,3.67
Ariana,Land,37620.0,1.0,78.7,3.67
Ariana,House,58000.0,100.0,78.7,3.67
Ariana,Apartment,230000.0,153.0,78.7,3.67
Ariana,Apartment,360000.0,157.0,78.7,3.67
Ariana,House,1890000.0,600.0,78.7,3.67
Ariana,Apartment,485000.0,200.0,78.7,3.67
Ariana,Apartment,395000.0,150.0,78.7,3.67
Ariana,Apartment,350000.0,205.0,78.7,3.67
Ariana,Apartment,175000.0,63.0,78.7,3.67
Ariana,Apartment,360000.0,169.0,78.7,3.67
Ariana,House,570000.0,300.0,78.7,3.67
Ariana,Apartment,245000.0,130.0,78.7,3.67
Ariana,Apartment,335000.0,135.0,78.7,3.67
Ariana,Apartment,110000.0,109.0,78.7,3.67
Ariana,Land,355200.0,1.0,78.7,3.67
Ariana,House,380000.0,426.0,78.7,3.67
Ariana,Apartment,260000.0,140.0,78.7,3.67
Ariana,Land,187000.0,1.0,78.7,3.67
Ariana,Land,93100.0,1.0,78.7,3.67
Ariana,Apartment,155000.0,78.0,78.7,3.67
Ariana,Apartment,405000.0,170.0,78.7,3.67
Ariana,House,1550000.0,1000.0,78.7,3.67
Ariana,Apartment,360000.0,140.0,78.7,3.67
Ariana,House,210000.0,300.0,78.7,3.67
Ariana,Apartment,98000.0,75.0,78.7,3.67
Ariana,House,950000.0,500.0,78.7,3.67
Ariana,Unknown,1100000.0,750.0,78.7,3.67
Ariana,House,600000.0,750.0,78.7,3.67
Ariana,House,380000.0,170.0,78.7,3.67
Ariana,Apartment,320000.0,130.0,78.7,3.67
Ariana,House,1800000.0,1000.0,78.7,3.67
Ariana,Apartment,350000.0,153.0,78.7,3.67
Ariana,Unknown,37000.0,450.0,78.7,3.67
Ariana,House,300000.0,335.0,78.7,3.67
Ariana,Land,94000.0,1.0,78.7,3.67
Ariana,Apartment,145000.0,55.0,78.7,3.67
Ariana,House,220000.0,151.0,78.7,3.67
Ariana,House,550000.0,206.0,78.7,3.67
Ariana,House,460000.0,340.0,78.7,3.67
Ariana,Land,2295000.0,1.0,78.7,3.67
Ariana,House,70000.0,200.0,78.7,3.67
Ariana,Apartment,328000.0,121.0,78.7,3.67
Ariana,Apartment,161000.0,64.0,78.7,3.67
Ariana,Land,457650.0,1.0,78.7,3.67
Ariana,House,900000.0,311.0,78.7,3.67
Ariana,House,800000.0,327.0,78.7,3.67
Ariana,Unknown,180000.0,117.0,78.7,3.67
Ariana,Apartment,328000.0,135.0,78.7,3.67
Ariana,Apartment,350000.0,146.0,78.7,3.67
Ariana,Apartment,370000.0,131.0,78.7,3.67
Ariana,Unknown,30000.0,25.0,78.7,3.67
Ariana,Apartment,1100000.0,75.0,78.7,3.67
Ariana,Apartment,420000.0,180.0,78.7,3.67
Ariana,Apartment,245000.0,139.0,78.7,3.67
Ariana,Apartment,240000.0,128.0,78.7,3.67
Ariana,Apartment,178000.0,67.0,78.7,3.67
Ariana,Apartment,370000.0,167.0,78.7,3.67
Ariana,Apartment,200000.0,98.0,78.7,3.67
Ariana,Apartment,180000.0,140.0,78.7,3.67
