city,region,lat,lon,coastal,temp_c,humidity,precip_now,flood_risk_100,flood_cat,heat_index_c,heat_level,heat_risk_100,drought_spi,drought_level,livability_score,infrastructure_score,sustainability_score,sustainability_cat,hist_risk,combined_risk,combined_cat
Tunis,North,36.82,10.17,True,23.4,49,0.0,44.2,Moderate,23.1,Safe,8.9,-3.0,Extreme Drought,97.0,55.2,75.1,Low,5.1,3.57,Moderate
Sfax,Center-East,34.74,10.76,True,24.9,43,0.0,20.2,Low,24.6,Safe,13.1,-3.0,Extreme Drought,76.2,45.0,73.2,Low,4.9,3.43,Moderate
Sousse,Center-East,35.83,10.64,True,23.5,51,0.0,20.2,Low,23.2,Safe,9.1,-3.0,Extreme Drought,80.0,48.0,75.7,Low,3.9,2.73,Moderate
Kairouan,Center,35.68,9.11,False,20.5,47,0.0,18.0,Low,19.8,Safe,0.0,-3.0,Extreme Drought,53.2,33.0,67.2,Moderate,5.8,4.06,Moderate
Bizerte,North,37.27,9.87,True,19.7,59,0.0,44.2,Moderate,19.3,Safe,0.0,-3.0,Extreme Drought,79.0,40.8,68.6,Moderate,2.8,1.96,Low
Gabès,South-East,33.88,9.9,True,26.0,31,0.0,20.2,Low,25.5,Safe,15.7,-3.0,Extreme Drought,49.0,28.8,61.3,Moderate,6.55,4.66,Moderate
Ariana,North,36.86,10.19,False,23.5,48,0.0,42.0,Moderate,23.2,Safe,9.1,-3.0,Extreme Drought,86.0,52.8,71.9,Low,5.1,3.57,Moderate
Gafsa,South-West,34.43,8.78,False,25.3,25,0.0,6.0,Low,24.5,Safe,12.9,-3.0,Extreme Drought,35.0,24.0,60.9,Moderate,6.25,4.4,Moderate
Monastir,Center-East,35.77,10.83,True,21.5,56,0.0,20.2,Low,21.2,Safe,3.4,-3.0,Extreme Drought,74.0,43.2,74.1,Low,4.9,3.43,Moderate
Nabeul,North-East,36.45,10.73,True,27.6,36,1.15,10.2,Low,27.1,Safe,20.3,-0.079,Mildly Dry,76.8,39.0,73.7,Low,1.6,1.43,Low
Béja,North-West,36.73,9.18,False,21.3,55,0.0,42.0,Moderate,20.9,Safe,2.6,-3.0,Extreme Drought,53.8,27.0,58.4,Moderate,2.8,1.96,Low
Jendouba,North-West,36.5,8.78,False,23.0,47,0.0,60.0,High,22.6,Safe,7.4,-3.0,Extreme Drought,51.5,25.2,51.0,High,3.7,2.59,Moderate
Tozeur,South-West,33.92,8.13,False,30.4,69,0.0,6.0,Low,35.8,Caution,45.1,-3.0,Extreme Drought,31.2,21.0,52.7,High,5.95,4.57,Moderate
Médenine,South,33.35,10.5,False,29.7,36,0.84,7.4,Low,29.0,Safe,25.7,2.507,Wet,36.5,25.2,58.6,Moderate,5.95,4.6,Moderate
Kasserine,Center-West,35.17,8.83,False,27.2,69,0.97,7.6,Low,29.1,Safe,26.0,1.12,Wet,40.5,22.8,59.2,Moderate,4.6,3.48,Moderate
Mahdia,Center-East,35.5,11.06,True,27.8,52,0.83,21.6,Low,28.4,Safe,24.0,0.09,Normal,65.0,36.0,65.4,Moderate,4.9,3.72,Moderate
Ben Arous,North,36.75,10.22,False,26.8,56,1.28,44.1,Moderate,27.6,Safe,21.7,-0.155,Mildly Dry,83.8,51.0,67.8,Moderate,5.1,3.83,Moderate
Siliana,North-West,36.08,9.37,False,21.5,47,0.0,6.0,Low,20.9,Safe,2.6,-3.0,Extreme Drought,46.2,21.0,65.7,Moderate,1.6,1.12,Low
Le Kef,North-West,36.18,8.71,False,19.6,54,0.0,42.0,Moderate,19.0,Safe,0.0,-3.0,Extreme Drought,50.0,24.0,57.2,Moderate,2.8,1.96,Low
Hammamet,North-East,36.4,10.62,True,23.3,50,0.0,8.2,Low,23.0,Safe,8.6,-3.0,Extreme Drought,75.2,37.8,75.9,Low,1.6,1.12,Low
Zaghouan,North,36.4,10.14,False,23.0,53,0.0,6.0,Low,22.7,Safe,7.7,-3.0,Extreme Drought,48.5,22.8,65.8,Moderate,1.6,1.12,Low
Kebili,South,33.7,8.97,False,26.7,30,0.0,6.0,Low,26.2,Safe,17.7,-3.0,Extreme Drought,27.5,18.0,56.5,Moderate,5.95,4.29,Moderate
Sidi Bouzid,Center,35.04,9.49,False,24.8,30,0.0,6.0,Low,24.1,Safe,11.7,-3.0,Extreme Drought,39.0,21.6,61.9,Moderate,5.95,4.17,Moderate
Tataouine,South,32.93,10.45,False,24.0,36,0.0,6.0,Low,23.4,Safe,9.7,-3.0,Extreme Drought,26.0,16.8,57.4,Moderate,5.95,4.17,Moderate
