city,region,scenario,temp_c,flood_risk,heat_risk,drought_spi,sustainability
Tunis,North,Baseline (Today),23.4,44.2,8.9,-3.0,75.1
Sfax,Center-East,Baseline (Today),24.9,20.2,13.1,-3.0,73.2
Sousse,Center-East,Baseline (Today),23.5,20.2,9.1,-3.0,75.7
Kairouan,Center,Baseline (Today),20.5,18.0,0.0,-3.0,67.2
Bizerte,North,Baseline (Today),19.7,44.2,0.0,-3.0,68.6
Gabès,South-East,Baseline (Today),26.0,20.2,15.7,-3.0,61.3
Ariana,North,Baseline (Today),23.5,42.0,9.1,-3.0,71.9
Gafsa,South-West,Baseline (Today),25.3,6.0,12.9,-3.0,60.9
Monastir,Center-East,Baseline (Today),21.5,20.2,3.4,-3.0,74.1
Nabeul,North-East,Baseline (Today),27.6,10.2,20.3,-0.079,73.7
Béja,North-West,Baseline (Today),21.3,42.0,2.6,-3.0,58.4
Jendouba,North-West,Baseline (Today),23.0,60.0,7.4,-3.0,51.0
Tozeur,South-West,Baseline (Today),30.4,6.0,45.1,-3.0,52.7
Médenine,South,Baseline (Today),29.7,7.4,25.7,2.507,58.6
Kasserine,Center-West,Baseline (Today),27.2,7.6,26.0,1.12,59.2
Mahdia,Center-East,Baseline (Today),27.8,21.6,24.0,0.09,65.4
Ben Arous,North,Baseline (Today),26.8,44.1,21.7,-0.155,67.8
Siliana,North-West,Baseline (Today),21.5,6.0,2.6,-3.0,65.7
Le Kef,North-West,Baseline (Today),19.6,42.0,0.0,-3.0,57.2
Hammamet,North-East,Baseline (Today),23.3,8.2,8.6,-3.0,75.9
Zaghouan,North,Baseline (Today),23.0,6.0,7.7,-3.0,65.8
Kebili,South,Baseline (Today),26.7,6.0,17.7,-3.0,56.5
Sidi Bouzid,Center,Baseline (Today),24.8,6.0,11.7,-3.0,61.9
Tataouine,South,Baseline (Today),24.0,6.0,9.7,-3.0,57.4
Tunis,North,+2°C (2050),25.4,44.2,15.1,-3.0,73.9
Sfax,Center-East,+2°C (2050),26.9,20.2,20.0,-3.0,71.8
Sousse,Center-East,+2°C (2050),25.5,20.2,15.7,-3.0,74.4
Kairouan,Center,+2°C (2050),22.5,18.0,6.0,-3.0,66.0
Bizerte,North,+2°C (2050),21.7,44.2,4.3,-3.0,67.7
Gabès,South-East,+2°C (2050),28.0,20.2,20.6,-3.0,60.3
Ariana,North,+2°C (2050),25.5,42.0,15.4,-3.0,70.7
Gafsa,South-West,+2°C (2050),27.3,6.0,18.3,-3.0,59.8
Monastir,Center-East,+2°C (2050),23.5,20.2,9.7,-3.0,72.8
Nabeul,North-East,+2°C (2050),29.6,10.0,25.4,-0.079,72.8
Béja,North-West,+2°C (2050),23.3,42.0,9.1,-3.0,57.1
Jendouba,North-West,+2°C (2050),25.0,60.0,13.7,-3.0,49.8
Tozeur,South-West,+2°C (2050),32.4,6.0,62.3,-3.0,49.3
Médenine,South,+2°C (2050),31.7,7.3,32.3,2.507,57.3
Kasserine,Center-West,+2°C (2050),29.2,7.5,37.7,1.12,56.9
Mahdia,Center-East,+2°C (2050),29.8,21.5,32.0,0.09,63.9
Ben Arous,North,+2°C (2050),28.8,43.9,29.4,-0.155,66.3
Siliana,North-West,+2°C (2050),23.5,6.0,9.1,-3.0,64.4
Le Kef,North-West,+2°C (2050),21.6,42.0,3.7,-3.0,56.5
Hammamet,North-East,+2°C (2050),25.3,8.2,14.9,-3.0,74.7
Zaghouan,North,+2°C (2050),25.0,6.0,14.3,-3.0,64.5
Kebili,South,+2°C (2050),28.7,6.0,22.0,-3.0,55.6
Sidi Bouzid,Center,+2°C (2050),26.8,6.0,18.0,-3.0,60.6
Tataouine,South,+2°C (2050),26.0,6.0,16.0,-3.0,56.2
Tunis,North,+4°C (2100),27.4,44.2,22.6,-3.0,72.4
Sfax,Center-East,+4°C (2100),28.9,20.2,25.7,-3.0,70.7
Sousse,Center-East,+4°C (2100),27.5,20.2,23.1,-3.0,72.9
Kairouan,Center,+4°C (2100),24.5,18.0,12.3,-3.0,64.7
Bizerte,North,+4°C (2100),23.7,44.2,10.6,-3.0,66.5
Gabès,South-East,+4°C (2100),30.0,20.2,25.4,-3.0,59.3
Ariana,North,+4°C (2100),27.5,42.0,22.6,-3.0,69.2
Gafsa,South-West,+4°C (2100),29.3,6.0,22.6,-3.0,59.0
Monastir,Center-East,+4°C (2100),25.5,20.2,16.0,-3.0,71.6
Nabeul,North-East,+4°C (2100),31.6,9.7,32.3,-0.079,71.5
Béja,North-West,+4°C (2100),25.3,42.0,15.4,-3.0,55.9
Jendouba,North-West,+4°C (2100),27.0,60.0,20.9,-3.0,48.3
Tozeur,South-West,+4°C (2100),34.4,6.0,83.1,-3.0,45.1
Médenine,South,+4°C (2100),33.7,7.0,40.9,2.507,55.7
Kasserine,Center-West,+4°C (2100),31.2,7.2,53.4,1.12,53.9
Mahdia,Center-East,+4°C (2100),31.8,21.3,42.9,0.09,61.7
Ben Arous,North,+4°C (2100),30.8,43.6,40.0,-0.155,64.3
Siliana,North-West,+4°C (2100),25.5,6.0,15.4,-3.0,63.2
Le Kef,North-West,+4°C (2100),23.6,42.0,10.0,-3.0,55.2
Hammamet,North-East,+4°C (2100),27.3,8.2,22.3,-3.0,73.2
Zaghouan,North,+4°C (2100),27.0,6.0,22.0,-3.0,62.9
Kebili,South,+4°C (2100),30.7,6.0,27.1,-3.0,54.6
Sidi Bouzid,Center,+4°C (2100),28.8,6.0,22.3,-3.0,59.8
Tataouine,South,+4°C (2100),28.0,6.0,21.4,-3.0,55.1
